Sample	mapped_reads	mapped_reads_pct	forward_strand_pct	read_2	read_1	duplicates	both_mapped	reverse_strand_pct	duplicates_pct	reverse_strand	forward_strand	failed_qc_pct	both_mapped_pct	failed_qc	singletons	total_reads	singletons_pct	paired_end	paired_end_pct
SampID_10896	141919851.0	99.8399	50.0002	71136388.0	71011031.0	0.0	141817373.0	49.9998	0.0	71073435.0	71073984.0	0.0	99.7678	0.0	102478.0	142147419.0	0.0720928	142147419.0	100.0
SampID_10897	119490341.0	99.8173	50.0003	59911082.0	59797913.0	0.0	119385959.0	49.9997	0.0	59854155.0	59854840.0	0.0	99.7301	0.0	104382.0	119708995.0	0.0871965	119708995.0	100.0
SampID_10898	108080776.0	99.7912	49.9984	54209062.0	54097886.0	0.0	107966032.0	50.0016	0.0	54155218.0	54151730.0	0.0	99.6852	0.0	114744.0	108306948.0	0.105943	108306948.0	100.0
SampID_10900	126608578.0	99.7139	49.9967	63581021.0	63390837.0	0.0	126434327.0	50.0033	0.0	63490182.0	63481676.0	0.0	99.5767	0.0	174251.0	126971858.0	0.137236	126971858.0	100.0
SampID_10901	120419071.0	99.7517	49.9975	60436254.0	60282569.0	0.0	120275705.0	50.0025	0.0	60362431.0	60356392.0	0.0	99.6329	0.0	143366.0	120718823.0	0.11876	120718823.0	100.0
SampID_10902	112822204.0	99.7211	49.9973	56644075.0	56493736.0	0.0	112665930.0	50.0027	0.0	56571963.0	56565848.0	0.0	99.5829	0.0	156274.0	113137811.0	0.138127	113137811.0	100.0
SampID_10903	135103267.0	99.7118	49.9972	67846520.0	67647237.0	0.0	134923985.0	50.0028	0.0	67750638.0	67743119.0	0.0	99.5795	0.0	179282.0	135493757.0	0.132318	135493757.0	100.0
SampID_10904	113743370.0	99.6811	49.9972	57141200.0	56966116.0	0.0	113564743.0	50.0028	0.0	57056853.0	57050463.0	0.0	99.5245	0.0	178627.0	114107316.0	0.156543	114107316.0	100.0
SampID_11657	109111970.0	99.7456	49.9979	54812954.0	54577274.0	0.0	108974991.0	50.0021	0.0	54697369.0	54692859.0	0.0	99.6204	0.0	136979.0	109390228.0	0.125221	109390228.0	100.0
SampID_11686	145627439.0	99.8227	50.0018	73019837.0	72866274.0	0.0	145514956.0	49.9982	0.0	72940439.0	72945672.0	0.0	99.7456	0.0	112483.0	145886111.0	0.0771033	145886111.0	100.0
SampID_11687	127961580.0	99.8056	50.0001	64176843.0	64033962.0	0.0	127845141.0	49.9999	0.0	64105227.0	64105578.0	0.0	99.7148	0.0	116439.0	128210805.0	0.0908184	128210805.0	100.0
SampID_26776	139632076.0	99.4099	49.9942	70455992.0	70004944.0	0.0	139275847.0	50.0058	0.0	70238631.0	70222305.0	0.0	99.1563	0.0	356229.0	140460936.0	0.253614	140460936.0	100.0
SampID_26777	114775792.0	99.264	49.9952	58025210.0	57601604.0	0.0	114365813.0	50.0048	0.0	57818989.0	57807825.0	0.0	98.9094	0.0	409979.0	115626814.0	0.354571	115626814.0	100.0
SampID_26778	119996663.0	99.5071	49.9968	60444504.0	60146589.0	0.0	119720729.0	50.0032	0.0	60299408.0	60291685.0	0.0	99.2782	0.0	275934.0	120591093.0	0.228818	120591093.0	100.0
SampID_26782	177390194.0	99.5168	50.002	89357046.0	88894458.0	0.0	177033690.0	49.998	0.0	89122181.0	89129323.0	0.0	99.3168	0.0	356504.0	178251504.0	0.200001	178251504.0	100.0
SampID_26783	149339357.0	99.5652	49.9994	75154531.0	74837054.0	0.0	149036505.0	50.0006	0.0	74996751.0	74994834.0	0.0	99.3633	0.0	302852.0	149991585.0	0.201913	149991585.0	100.0
SampID_26784	232215183.0	99.5452	50.0083	116925045.0	116351164.0	0.0	231810103.0	49.9917	0.0	116618727.0	116657482.0	0.0	99.3715	0.0	405080.0	233276209.0	0.173648	233276209.0	100.0
